No. 1 - Single Pane Window,Winter Temperature Difference,,,,,,,,,,,,,,,,
D. Wood Frame,6.2,7.8,9.4,10.9,12.5,14,15.6,17.2,18.7,20.3,21.8,23.4,25,26.5,28.1,29.6,0.312
E. T.I.M. Frame,7.2,9,10.8,12.6,14.4,16.2,18,19.8,21.6,23.4,25.2,27,28.8,30.6,32.4,34.2,0.36
F. Metal Frame,9,11.2,13.4,15.7,17.9,20.2,22.4,24.6,26.9,29.1,31.4,33.6,35.8,38.1,40.3,42.6,0.448
Clear Glass & Storm,,,,,,,,,,,,,,,,,
G. Wood Frame,5.3,6.6,7.9,9.2,10.5,11.8,13.2,14.5,15.8,17.1,18.4,19.7,21.1,22.4,23.7,25,0.263
H. T.I.M. Frame,6.2,7.8,9.3,10.9,12.4,14,15.5,17.1,18.6,20.2,21.7,23.2,24.8,26.4,27.9,29.5,0.311
I. Metal Frame,7.6,9.5,11.3,13.2,15.1,17,18.9,20.8,22.7,24.6,26.5,28.4,30.2,32.1,34,35.9,0.378
,,,,,,,,,,,,,,,,,
No. 6 Jalousie Windows,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
A. Metal Frame-Single Glass,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,82.5,88,93.5,99,104.5,1.1
B. Metal Frame-Single Glass & Storm,10,12.5,15,17.5,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,0.5
,,,,,,,,,,,,,,,,,
No. 7 Skylights,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
Single; Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,22.1,27.7,33.2,38.7,44.3,49.8,55.4,60.9,66.4,72,77.5,83,88.6,94.1,99.6,105.2,1.107
B. T.I.M. Frame,23.4,29.2,35.1,40.9,46.7,52.6,58.4,64.3,70.1,76,81.8,87.6,93.5,99.3,105.2,111,1.169
C. Metal Frame,25.8,32.3,38.7,45.2,51.7,58.1,64.6,71,77.5,83.9,90.4,96.9,103.3,109.8,116.2,122.7,1.292
Single; Plastic Dome,,,,,,,,,,,,,,,,,
D. Wood Frame,20.7,25.9,31.1,36.2,41.4,46.6,51.8,56.9,62.1,67.3,72.5,77.6,82.8,88,93.2,98.3,1.035
E. T.I.M. Frame,21.9,27.3,32.8,38.2,43.7,49.2,54.6,60.1,65.6,71,76.5,81.9,87.4,92.9,98.3,103.8,1.093
F. Metal Frame,24.2,30.2,36.2,42.3,48.3,54.3,60.4,66.4,72.5,78.5,84.5,90.6,96.6,102.6,107.8,114.7,1.208
Double; Plastic Dome or Clear Glass,,,,,,,,,,,,,,,,,
G. Wood Frame,13.3,16.6,20,23.3,26.6,29.9,33.3,36.6,39.9,43.2,46.6,49.9,53.2,56.5,59.9,63.2,0.665
H. T.I.M. Frame,14.7,18.4,22.1,25.7,29.4,33.1,36.8,40.4,44.1,47.8,51.5,55.1,58.8,62.5,66.2,69.8,0.735
I. Metal Frame,17.5,21.9,26.3,30.6,35,39.4,43.8,48.1,52.5,56.9,61.3,65.6,70,74.4,78.8,83.1,0.875
Double; Low Emittance Glass,,,,,,,,,,,,,,,,,
J. Wood Frame,9.9,12.4,14.8,17.3,19.8,22.2,24.7,27.2,29.6,32.1,34.6,37.1,39.5,42.9,44.5,46.9,0.494
K. T.I.M. Frame,10.9,13.7,16.4,19.1,21.8,24.6,27.3,30,32.8,35.5,38.2,41,43.7,46.4,49.1,51.9,0.546
L. Metal Frame,13,16.3,19.5,22.8,26,29.3,32.5,35.8,39,42.3,45.5,48.8,52,55.3,58.5,61.8,0.65
,,,,,,,,,,,,,,,,,
No. 8 Sliding Glass Doors,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
"Single Pane, Clear Glass",,,,,,,,,,,,,,,,,
A. Wood Frame,19.8,24.8,29.7,34.7,39.6,44.6,49.5,54.5,59.4,64.4,69.3,74.3,79.2,84.2,89.1,94.1,0.99
B. T.I.M. Frame,20.9,26.1,31.4,36.6,41.8,47,52.3,57.5,62.7,67.9,73.2,78.4,83.6,88.8,94.1,99.3,1.045
C. Metal Frame,23.1,28.9,34.7,40.4,46.2,52,57.8,63.5,69.3,75.1,80.9,86.6,92.4,98.2,104,109.7,1.155
"Single Pane, Low ""e"" Glass",,,,,,,,,,,,,,,,,
D. Wood Frame,16.4,20.5,24.6,28.7,32.8,36.9,41,45,49.1,53.2,57.3,61.4,65.5,69.6,73.7,77.8,0.819
E. T.I.M. Frame,17.3,21.6,25.9,30.3,34.6,38.9,43.2,47.5,51.9,56.2,60.5,64.8,69.2,73.5,77.8,82.1,0.865
F. Metal Frame,19.1,23.9,28.7,33.4,38.2,43,47.8,52.6,57.3,62.1,66.9,71.7,76.4,81.2,86,90.8,0.956
"Single Pane & Storm, Clear Glass",,,,,,,,,,,,,,,,,
G. Wood Frame,9.5,11.9,14.3,16.6,19,21.4,23.8,26.1,28.5,30.9,33.3,35.6,38,40.4,42.8,45.1,0.475
H. T.I.M. Frame,10.5,13.1,15.8,18.4,21,23.6,26.3,28.9,31.5,34.1,36.8,39.4,42,44.6,47.3,49.9,0.525
I. Metal Frame,13,16.3,19.5,22.8,26,29.3,32.5,35.8,39,42.3,45.5,48.8,52,55.3,58.5,61.8,0.65
"Single Pane & Storm, Low ""e"" Glass",,,,,,,,,,,,,,,,,
J. Wood Frame,8.4,10.5,12.5,14.6,16.7,18.8,20.9,23,25.1,27.2,29.3,31.4,33.4,35.5,37.6,39.7,0.418
K. T.I.M. Frame,9.2,11.6,13.9,16.2,18.5,20.8,23.1,25.4,27.7,30,32.3,34.7,37,39.3,41.6,43.9,0.462
L. Metal Frame,11.4,14.3,17.2,20,22.9,25.7,28.6,31.5,34.3,37.2,40,42.9,45.8,48.6,51.5,54.3,0.572
"Double Pane, Clear Glass",,,,,,,,,,,,,,,,,
M. Wood Frame,11,13.8,16.5,19.3,22,24.8,27.6,30.3,33.1,35.8,38.6,41.3,44.1,46.8,49.6,52.3,0.551
N. T.I.M. Frame,12.2,15.2,18.3,21.3,24.4,27.4,30.5,33.5,36.5,39.6,42.6,45.7,48.7,51.8,54.8,57.9,0.609
O. Metal Frame,14.5,18.1,21.8,25.4,29,32.6,36.3,39.9,43.5,47.1,50.8,54.4,58,61.6,65.3,68.9,0.725
"Double Pane, Low ""e"" Glass",,,,,,,,,,,,,,,,,
P. Wood Frame,7.2,9,10.8,12.6,14.4,16.2,18.1,19.9,21.7,23.5,25.3,27.1,28.9,30.7,32.5,34.3,0.361
Q. T.I.M. Frame,8,10,12,14,16,18,20,21.9,23.9,25.9,27.9,29.9,31.9,33.9,35.9,37.9,0.399
R. Metal Frame,9.5,11.9,14.3,16.6,19,21.4,23.8,26.1,28.5,30.9,33.3,35.6,38,40.4,42.8,45.1,0.475
Triple Pane or Double Pane & Storm,,,,,,,,,,,,,,,,,
S. Wood Frame,6.8,8.5,10.2,11.9,13.7,15.4,17.1,18.8,20.5,22.2,23.9,25.6,27.3,29,30.7,32.4,0.341
T. T.I.M. Frame,7.7,9.6,11.6,13.5,15.4,17.3,19.3,21.2,23.1,25,27,28.9,30.8,32.7,34.7,36.6,0.385
U. Metal Frame,9.8,12.3,14.7,17.2,19.6,22.1,24.5,27,29.4,31.9,34.3,36.8,39.2,41.7,44.1,46.6,0.49
"Triple or Double & Storm, Low ""e""",,,,,,,,,,,,,,,,,
V. Wood Frame,5.3,6.6,7.9,9.2,10.5,11.8,13.2,14.5,15.8,17.1,18.4,19.7,21.1,22.4,23.7,25,0.263
W. T.I.M. Frame,5.9,7.4,8.9,10.4,11.9,13.4,14.9,16.3,17.8,19.3,20.8,22.3,23.8,25.2,26.7,28.2,0.297
X. Metal Frame,7.6,9.5,11.3,13.2,15.1,17,18.9,20.8,22.7,24.6,26.5,28.4,30.2,32.1,34,35.9,0.378
,,,,,,,,,,,,,,,,,
No. 9 French Doors,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
"Single Pane, Clear Glass",,,,,,,,,,,,,,,,,
A. Wood Frame,18.7,23.4,28.1,32.7,37.4,42.1,46.8,51.4,56.1,60.8,65.5,70.1,74.8,79.5,84.2,88.8,0.935
B. T.I.M. Frame,19.8,24.8,29.7,34.7,39.6,44.6,49.5,54.5,59.4,64.4,69.3,74.3,79.2,84.2,89.1,94.1,990
C. Metal Frame,24.2,30.3,36.3,42.4,48.4,54.5,60.5,66.6,72.6,78.7,84.7,90.8,96.8,102.9,108.9,115,1.21
"Single Pane, Low ""e"" Glass",,,,,,,,,,,,,,,,,
D. Wood Frame,15.5,19.3,23.2,27.1,30.9,34.8,38.7,42.5,46.4,50.3,54.1,58,61.9,65.7,69.6,73.5,0.774
E. T.I.M. Frame,16.4,20.5,24.6,28.7,32.8,36.9,41,45,49.1,53.2,57.3,61.4,65.5,69.6,73.7,77.8,0.819
F. Metal Frame,20,25,30,35,40,45,50.1,55.1,60.1,65.1,70.1,75.1,80.1,85.1,90.1,95.1,1.001
"Double Pane, Clear Glass",,,,,,,,,,,,,,,,,
G. Wood Frame,10.4,13.1,15.7,18.3,20.9,23.5,26.1,28.7,31.3,33.9,36.5,39.2,41.8,44.4,47,49.6,0.522
H. T.I.M. Frame,11,13.8,16.5,19.3,22,24.8,27.6,30.3,33.1,35.8,38.6,41.3,44.1,46.8,49.6,52.3,0.551
I. Metal Frame,15.1,18.9,22.6,26.4,30.2,33.9,37.7,41.5,45.2,49,52.8,56.6,60.3,64.1,67.9,71.6,0.754
"Double Pane, Low ""e"" glass",,,,,,,,,,,,,,,,,
J. Wood Frame,6.8,8.6,10.3,12,13.7,15.4,17.1,18.8,20.5,22.2,23.9,25.7,27.4,29.1,30.8,32.5,0.342
K. T.I.M. Frame,7.2,9,10.8,12.6,14.4,16.2,18.1,19.9,21.7,23.5,25.3,27.1,28.9,30.7,32.5,34.3,0.361
L. Metal Frame,9.9,12.4,14.8,17.3,19.8,22.2,24.7,27.2,29.6,32.1,34.6,37.1,39.5,42,44.5,46.9,0.494
"Triple Pane, Clear Glass",,,,,,,,,,,,,,,,,
M. Wood Frame,7.4,9.3,11.1,13,14.8,16.7,18.5,20.4,22.2,24.1,25.9,27.8,29.6,31.5,33.3,35.2,0.371
N. T.I.M. Frame,7.8,9.8,11.7,13.7,15.6,17.6,19.5,21.5,23.4,25.4,27.3,29.3,31.2,33.2,35.1,37.1,0.39
O. Metal Frame,11.7,14.6,17.6,20.5,23.4,26.3,29.3,32.2,35.1,38,41,43.9,46.8,49.7,52.7,55.6,0.585
"Triple Pane, Low ""e"" Glass",,,,,,,,,,,,,,,,,
P. Wood Frame,5.1,6.4,7.7,9,10.3,11.5,12.8,14.1,15.4,16.7,18,19.2,20.5,21.8,23.1,24.4,0.257
Q. T.I.M. Frame,5.4,6.8,8.1,9.5,10.8,12.2,13.5,14.9,16.2,17.6,18.9,20.3,21.6,23,24.3,25.7,270
R. Metal Frame,8.1,10.1,12.2,14.2,16.2,18.2,20.3,22.3,24.3,26.3,28.4,30.4,32.4,34.4,36.5,38.5,0.405
,,,,,,,,,,,,,,,,,
No. 10 Wood Doors,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
A. Hollow Core,11.2,14,16.8,19.6,22.4,25.2,28,30.8,33.6,36.4,39.2,42,44.8,47.6,50.4,53.2,0.56
B. Hollow Core & Wood Storm,6.6,8.3,9.9,11.6,13.2,14.9,16.5,18.2,19.8,21.5,23.1,24.8,26.4,28.1,29.7,31.4,0.33
C. Hollow Core & Metal Storm,7.2,9,10.8,12.6,14.4,16.2,18,19.8,21.6,23.4,25.2,27,28.8,30.6,32.4,34.2,0.36
D. Solid Core,9.2,11.5,13.8,16.1,18.4,20.7,23,25.3,27.6,29.9,32.2,34.5,36.8,39.1,41.4,43.7,0.46
E. Solid Core & Wood Storm,5.8,7.3,8.7,10.2,11.6,13.1,14.5,16,17.4,18.9,20.3,21.8,23.2,24.7,26.1,27.6,0.29
F. Solid Core & Metal Storm,6.4,8,9.6,11.2,12.8,14.4,16,17.6,19.2,20.8,22.4,24,25.6,27.2,28.8,30.4,0.32
G. Panel,13.4,16.8,20.1,23.5,26.8,30.2,33.5,36.9,40.2,43.6,46.9,50.3,53.6,57,60.3,63.7,0.67
H. Panel & Wood Storm,7.2,9,10.8,12.6,14.4,16.2,18,19.8,21.6,23.4,25.2,27,28.8,30.6,32.4,34.2,0.36
I. Panel & Metal Storm,8.2,10.3,12.3,14.4,16.4,18.5,20.5,22.6,24.6,26.7,28.7,30.8,32.8,34.9,36.9,39,0.41
,,,,,,,,,,,,,,,,,
No. 11 Metal Doors,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
A. Fiberglass Core,11.8,14.8,17.7,20.7,23.6,26.6,29.5,32.5,35.4,38.4,41.3,44.3,47.2,50.2,53.1,56.1,0.59
B. Fiberglass Core & Storm,7.3,9.2,11,12.8,14.7,16.5,18.4,20.2,22,23.9,25.7,27.5,29.4,31.2,33,34.9,0.367
C. Polystyrene Core,9.4,11.8,14.1,16.5,18.8,21.2,23.5,25.9,28.2,30.6,32.9,35.3,37.6,40,42.3,44.7,0.47
D. Polystyrene Core & Storm,6.3,7.9,9.5,11.1,12.7,14.3,15.9,17.4,19,20.6,22.2,23.8,25.4,26.9,28.5,30.1,0.317
E. Urethane Core,3.8,4.8,5.7,6.7,7.6,8.6,9.5,10.5,11.4,12.4,13.3,14.3,15.2,16.2,17.1,18.1,0.19
F. Urethane Core & Storm,3.4,4.3,5.1,6,6.8,7.7,8.5,9.4,10.2,11.1,11.9,12.8,13.6,14.5,15.3,16.2,0.17
